Sample Text;#number;Name;Date;Time;Code;Type;Project;O2 (mg/l);NO3 (mg/l);DOC (mg/l);TOC (mg/l);T (C);pH;eH (mV);EC (uS/cm);Alk (pulses/ 5 ml);Abs. Volume;Total abs. Volume;ICP_Li (ug/l);ICP_Be (ug/l);ICP_B (ug/l);ICP_Na (ug/l);ICP_Mg26 (ug/l);ICP_Al (ug/l);ICP_Si (ug/l);ICP_P (ug/l);ICP_S (ug/l);ICP_K (ug/l);ICP_Ca (ug/l);ICP_Ti (ug/l);ICP_V (ug/l);ICP_Cr (ug/l);ICP_Mn (ug/l);ICP_Fe56 (ug/l);ICP_Fe57 (ug/l);ICP_Co (ug/l);ICP_Ni (ug/l);ICP_Cu (ug/l);ICP_Zn (ug/l);ICP_As (ug/l);ICP_Se (ug/l);ICP_Sr (ug/l);ICP_Mo (ug/l);ICP_Ag (ug/l);ICP_Cd (ug/l);ICP_Sb (ug/l);ICP_Ba (ug/l);ICP_Pb (ug/l);IC_Na (mg/l);IC_NH4 (mg/l);IC_K (mg/l);IC_Mg (mg/l);IC_Ca (mg/l);IC_F (mg/l);IC_Ac (mg/l);IC_Cl (mg/l);IC_NO2 (mg/l);IC_Br (mg/l);IC_NO3 (mg/l);IC_PO4 (mg/l);IC_SO4 (mg/l);ICPOES_PO4 (mg/l);"Compound 1:  Atrazine
";"Compound 2:  Atrazine-d5
";"Compound 3:  Azoystrobin
";"Compound 4:  Bentazone
";"Compound 5:  Bentazone-d7
";"Compound 6:  Boscalid
";"Compound 7:  Chlordiazon
";"Compound 8:  Chlordiazon-Desphenyl
";"Compound 9:  Chlordiazon-Methyl-Desphenyl
";"Compound 10:  Cycloydim
";"Compound 11:  Fluopicolide
";"Compound 12:  Fluopyram
";"Compound 13:  Flutolanil
";"Compound 14:  Glyphosate
";"Compound 15:  Imidacloprid
";"Compound 16:  Imidacloprid-d4
";"Compound 17:  Metamitron
";"Compound 18:  Methoyfenozide
";"Compound 19:  Pencycuron
";"Compound 20:  Pendimethalin
";"Compound 21:  Prochloraz
";"Compound 22:  Pyraclostrobin
";"Compound 23:  Tebuconazole
";"Compound 24:  Trifloystrobin
";"Compound 25:  Trifloystrobin-d6
";"Compound 26:  Clarithromycin
";DA_N-NH4;DA-P-PO4;DA-Alk
PZ1-GW;10;PZ1;25-2-2019;12:53;GW;Sample;PPT1 - GW;0.05;0;9.87;7.132;12.7;7.3;-89;1996;199;-99;-99;19.18;-0.04;203.12;131309;33365.08;-18.58;22168.44;46.81;;8534.87;222470.9;2.31;0.01;0.64;936.53;14267.16;15268.88;-0.32;0.38;-26.36;-194.38;-0.02;4;778.77;2.7;-0.02;0;-0.03;56.81;0.29;135.82;10.75;7.54;37.7;273.87;0.142873754;#N/A;450.0105832;0.008424906;1.914042423;0.007804403;0;6.720652452;0.91;0.0037;0.6574;0.0065;0.0036;0.9272;0.0052;0.0082;0.1038;0.0043;0.0127;0.0067;0.0109;0.0167;;0.0055;0.7556;0.0003;0.01;0.0049;0.0178;0.0099;0.0033;0.0145;0.0035;0.6442;0.4797;0.8382;0.276;123.788
PZ1-DW;11;PZ1;25-2-2019;08:46;DW;Sample;PPT1;4.5;4.9;17.1;;7.6;7.48;158.8;1870;180;-99;-99;17.32;-0.04;255.84;215203;37142.81;-17.35;5810.96;726.46;;34141.46;158016.8;2.22;7.19;2.36;416.11;97.98;258.1;-0.03;0.04;-26.13;-194.87;7.38;5.06;697.09;5.71;-0.22;-0.13;0.6;7.55;4.23;221.04;0;35.77;39.45;208.53;0.398036948;#N/A;357.1457149;0.008424906;0.912563634;5.401227856;10.42647026;107.8128789;;0.0009;0.2389;0.0068;0.0267;0.4013;0.0051;0.1773;4.7863;0.5529;0.0073;;0.1046;0.0071;;0.0243;0.3256;0.0106;0.0053;;0.0518;0.002;0.0022;0.0173;0.0025;0.2366;;0.4186;4.176;388.028
PZ1-DW+;12;PZ1;25-2-2019;12:09;DW+;Sample;PPT1;8.2;45.1;13.7;;9.6;7.86;88.9;2227;186;-99;-99;17.62;-0.04;264.7;290244.4;37501.64;-5.9;5763.36;1365.06;;36063.77;160356.8;2.49;7.3;2.28;412.98;87.07;289.89;-0.03;0.81;-24.4;-193.15;8.09;4.88;701.73;5.87;-0.2;-0.05;0.61;7.72;1.81;218.7;1.51;26.41;30.39;164.02;0.381422327;#N/A;436.594018;0.008424906;9.594181369;45.28669118;17.33553804;108.5704952;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6915;7.465;387.614
PZ1-INF1;13;PZ1;25-2-2019;15:20;INF1;Sample;PPT1;8.2;45.7;17.7;;12.2;7.9;182.2;2182;180;-99;-99;16.82;-0.05;261.38;287627.9;37383.11;-8.64;5727.09;1351.19;;34930.65;159298.6;2.77;6.96;1.86;407.92;79.76;250.71;-0.11;0.12;-25.89;-192.47;7.8;4.99;708.83;5.86;-0.19;-0.09;0.58;7.95;0.71;293.41;2.48;36.92;40.25;206.86;0.381422327;#N/A;430.3195378;0.008424906;9.415659735;44.37689181;18.90376205;106.7282038;;4.1;0.2;0.1;5.6;0.3;0;5.6;5.7;0.7;0.9;1;2.3;0;;5.3;0.2;5;0.8;0;0.1;0;0;0.4;0;0.2;18.2;0.2299;7.182;394.597
PZ1-INF2;14;PZ1;25-2-2019;16:15;INF2;Sample;PPT1;7.9;45.7;19.8;21.64;11.8;8;200;2175;183;-99;-99;17.39;-0.05;258.51;275671.3;36208.27;-7.09;5546.76;1320.55;;34220.48;156022.2;2.7;6.97;1.72;395.27;68.68;252.51;-0.11;0.11;-25.29;-194.35;7.65;6.14;683.57;5.62;-0.18;-0.15;0.56;7.25;1.12;296.57;2;36.1;40.74;211.27;0.381422327;#N/A;433.5901748;0.008424906;9.475179926;44.92292701;17.55996921;107.8574485;21.22;4.5;0.2;0.2;5.6;0.3;0;5.6;5.5;0.7;1;1.4;2.9;0.1;;5.3;0.2;5;0.9;0;0.1;0;0;0.7;0;0.2;20.3;0.2355;7.233;386.232
PZ1-INF3;15;PZ1;25-2-2019;18:55;INF3;Sample;PPT1;8.8;46.2;19.8;;10.8;8;160;2170;184;-99;-99;17.13;-0.05;267.93;287201;37076.01;-2.1;5603.6;1347.2;;34695.02;159476.3;2.59;7.2;1.81;402.02;70.33;244.12;-0.04;-0.61;-20.56;-188.66;7.47;7.47;706.22;5.8;-0.17;-0.16;0.57;7.57;1.33;301.28;2.03;37.14;41.55;210.63;0.381422327;#N/A;436.3460076;0.008424906;9.594181369;45.34729837;19.01552857;108.9418245;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2449;7.339;386.992
PZ1-INF4;16;PZ1;25-2-2019;20:30;INF4;Sample;PPT1;9.6;45.3;19.6;;8.4;7.98;147.8;2158;178;-99;-99;16.96;-0.04;262.88;287215;37197.27;-12.01;5601.52;1326.77;;34448.52;158752.4;2.39;6.99;2.6;399.52;73.46;278.64;-0.17;-0.35;-24.94;-193.08;7.75;4.57;690.97;5.7;-0.16;-0.09;0.57;7.38;0.18;296.28;2.58;43.28;40.72;210.26;0.381422327;#N/A;429.8417696;0.008424906;9.356126564;44.31619242;16.3239512;106.2526392;21.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.285;7.236;383.803
PZ1-SP1;17;PZ1;26-2-2019;16:33;SP1;Sample;PPT1;0.11;44.8;12.2;20.39;11.6;7.4;57.8;2121;190;30;30;16.97;-0.04;284.52;315181.6;39514.26;-6.01;8900.29;442.33;;37321.2;170057.4;2.86;10.33;3.25;356.56;23.16;228.59;1.04;18.25;-26;-194.61;27.26;4.8;698.94;15.97;-0.21;-0.09;1.72;11.62;0.63;297.82;1.13;35.89;39.72;202.52;0.364751099;#N/A;435.3723137;0.008424906;9.534687137;44.43758544;5.828740424;109.877425;5.98;4.565;0.2629;1.8788;6.157;0.3418;0.1976;5.8272;5.4978;0.7051;2.2822;2.2579;4.5571;1.0931;;4.1128;0.2768;4.862;1.4807;0.0353;0.0479;0.9055;;1.772;0.0021;0.2407;;0.3621;2.182;385.47
PZ1-SP2;18;PZ1;27-2-2019;15:38;SP2;Sample;PPT1;0.5;43.6;15.7;;12.3;7.7;1798.4;2112;190;30;60;14.11;-0.05;253.53;253715.9;31559.09;-10.23;8777.14;410.51;;29670.03;133541.2;2.51;6.67;1.16;264.93;20.78;184.61;0.82;13.5;-26.98;-195.78;24.37;8.95;556.03;13.85;-0.19;-0.16;1.2;10.72;3.28;303.9;2.77;37.48;40.8;203.35;0.348023261;#N/A;428.4451655;0.008424906;9.296580413;42.06626413;6.059890953;107.6643103;;4.0837;0.2639;1.1882;6.0625;0.3424;0.1071;5.606;5.2011;0.715;2.2161;1.7626;3.6404;0.5824;;3.4013;0.2777;4.6699;1.3481;0.0065;0.0599;0.2122;;1.3093;;0.2449;;0.2721;2.27;377.495
PZ1-SP3;19;PZ1;28-2-2019;15:45;SP3;Sample;PPT1;0.07;42.9;10.9;19.98;10.9;7.4;238.5;2078;196;30;90;15.87;-0.04;254.18;291667.7;36217.77;-4.19;9884;428.32;;34488.69;156930.1;2.58;5.24;1.21;293.57;53.53;254.7;1;14.68;-27.24;-196.29;24.44;2.91;638.9;14.14;-0.13;-0.21;0.98;14.71;0.87;294.8;2.88;35.84;39.69;202.74;0.331238816;#N/A;432.3223929;0.008424906;9.356126564;42.00534578;6.290908426;108.4516627;6.69;3.9851;0.2636;0.7467;5.7623;0.3367;0.0876;5.3824;4.9747;0.6817;2.2692;1.6808;3.4944;0.4384;;3.0753;0.2781;4.5502;1.1884;0.0051;0.0537;0.1049;0.0078;0.9954;;0.2496;;0.2586;2.274;380.73
PZ1-SP4;94;PZ1;1-3-2019;14:24;SP4;Sample;PPT1;0.13;41.4;9.59;;10.7;7.5;37.1;2078;182;30;120;15.78;-0.03;261.95;283634.3;35637.59;17.08;10642.67;414.43;;33017.71;159675.5;2.77;4.06;0.71;300.53;119.44;320.86;1.03;13.46;-26.41;-195.21;21.7;1.85;654.28;13.81;-0.17;-0.1;0.81;17.03;1.18;287.27;2.95;34.03;39.16;200.59;0.314397761;#N/A;436.0704375;0.008424906;9.356126564;41.39584529;5.94433232;108.4962253;;3.3086;0.4783;0.9378;5.0135;0.4934;0.1115;4.3554;4.1857;0.651;1.8508;1.5795;3.2455;0.597;;2.4919;0.4392;3.3475;1.1056;0.0159;;0.2457;0.0176;1.0039;0.0029;0.45;;0.3115;2.22;373.31
PZ1-SP5;116;PZ1;2-3-2019;14:55;SP5;Sample;PPT1;0.1;37.3;12.9;13.86;11.6;7.6;-13.4;1999;177;30;150;15.61;-0.05;266.84;278701.3;36213.05;18.53;11665.37;355.2;;30279.18;162478.8;2.82;2.82;1.88;326.71;185.4;401.98;1.02;14.08;-28.03;-197.39;18.74;4.98;661.31;12.96;-0.15;-0.05;0.69;18.39;2.12;275.61;3.4;32.51;38.7;208;0.280545828;#N/A;428.4267887;0.259044907;8.222530107;36.19182597;4.670991928;99.82711415;;2.9839;0.4741;0.6051;4.7624;0.458;0.0622;4.0113;3.8151;0.5572;1.9621;1.3576;2.7414;0.352;;2.1764;0.4415;3.6591;0.9962;0.0058;0.0253;0.0672;0.0047;0.7533;;0.4498;;0.3112;1.858;384.845
PZ1-SP6;121;PZ1;3-3-2019;08:48;SP6;Sample;PPT1;0;29.6;7.49;;11;6.9;51.7;1942;186;30;180;16.48;-0.04;258.49;257875.4;36412.8;19.54;12981.76;279.79;;26015.73;176486.3;2.7;2.48;1.41;391.28;352.72;546.38;1.32;14.46;-26.56;-186.33;15.93;5.66;685.68;11.1;-0.09;-0.07;0.52;21.27;3.14;253.39;4.48;25.99;38.92;218.75;0.263534948;#N/A;436.6032036;0.175730066;7.204287707;30.79126007;3.742398113;86.87122142;4.31;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4521;1.519;373.951
PZ1-SP7;127;PZ1;4-3-2019;09:43;SP7;Sample;PPT1;0;18.1;5.32;9.561;10.3;6.9;94.99;1975;191;30;210;18.56;-0.06;255.69;224120.5;36225.76;16;14457.38;223.03;;22041.95;191804.2;2.53;2.06;1.61;507.42;498.03;752.91;1.89;15.5;-25.48;-193.67;11.83;2.63;713.93;9.52;-0.14;-0.08;0.36;24.32;1.23;226.09;6.38;22.87;38.61;235.62;0.229343363;#N/A;438.7157881;0.175730066;5.820694828;18.0262656;2.279712099;69.61854122;;1.7658;0.6808;0.3892;2.8662;0.601;0.0443;2.3138;2.2351;0.3091;1.1357;0.8572;1.6826;0.2368;;1.2361;0.6238;1.9573;0.5926;0.012;0.0131;0.0822;0.003;0.5211;0.0026;0.6607;;0.6313;1.175;386.024
PZ1-SP8;133;PZ1;5-3-2019;09:26;SP8;Sample;PPT1;0;8.48;4.08;;10.4;6.8;61.12;1919;181;30;240;17.47;-0.06;245.82;190756.8;35333.16;20.25;15687.17;142.9;;18049.89;201369.8;2.62;1.49;0.97;634.92;843.1;1079.83;2.54;16.41;-27.85;-194.82;9.96;3.19;755.01;7.55;-0.13;-0.08;0.22;27.14;3.17;85.49;2.07;9.02;17.36;75.77;0.125410007;#N/A;188.8382214;0.217415655;1.855485271;3.633634462;0.503570651;18.38529882;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6411;0.758;65.706
PZ1-SP9;134;PZ1;6-3-2019;09:29;SP9;Sample;PPT1;0;2.1;2.47;7.779;10.9;6.6;47.22;1933;198;30;270;18.72;-0.06;250.16;175521.9;36144.73;19.34;17345.95;114.43;;15994.01;214903;2.84;1.42;1.42;771.36;1545.05;1868.85;3.16;19.73;-27.74;-194.95;11.69;3.31;786.51;6.16;-0.18;-0.08;0.13;31.71;0.87;174.94;7.78;15.28;39.31;259.01;0.177631423;#N/A;454.3710687;0.424997991;3.762805978;2.227254089;0.253655849;32.86965661;;0.7846;0.6874;0.2453;1.3116;0.6751;0.0351;1.2335;1.2479;0.1592;0.4723;0.4251;0.8139;0.1257;;0.6681;0.6679;0.9908;0.32;0.0058;0.0219;0.0304;0.0099;0.3208;0.0015;0.6663;;0.7264;0.613;285.873
PZ1-SP10;143;PZ1;7-3-2019;09:37;SP10;Sample;PPT1;0;0;3.79;;10.6;6.7;32.33;1884;197;30;300;18.51;-0.05;238.99;154134.2;34580.87;31.14;17639.11;112.33;;13395.37;213527.9;3.05;1.24;1.31;838.07;2463.53;2831.38;3.61;21.67;-26.49;-187.42;12.82;5;774.72;4.92;-0.07;-0.03;0.07;35.55;1.15;161.86;9.27;15.14;38.12;266.72;0.177631423;#N/A;448.7803337;0.217415655;3.032909781;0.15718863;0.127308575;21.20802127;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7962;0.593;242.159
PZ1-SP11;144;PZ1;10-3-2019;10:17;SP11;Sample;PPT1;0;0;7.4;8.399;10.6;6.7;38.3;1752;197;30;330;19.61;-0.06;240.77;149215.5;35795.12;33.16;19213.67;154.19;;12187.26;230620.5;3.24;0.83;1.61;962.95;3709.76;4301.78;3.22;21.27;-26.36;-190.77;19.51;4.77;822.7;4.27;-0.17;-0.03;0.03;38.82;0.74;153.26;10.06;12.93;38.11;277.4;0.177631423;#N/A;459.7678678;0.008424906;2.606273828;0.007804403;0.127308575;13.93414781;;0.4027;0.6901;0.5645;0.569;0.7587;0.0753;0.6516;0.8164;0.0827;0.2243;0.3813;0.661;0.3292;;0.406;0.7137;0.5235;0.2282;0.0524;0.0126;0.2875;0.0053;0.406;0.0142;0.6635;;0.8241;0.871;277.556
PZ1-SP12;162;PZ1;14-3-2019;10:00;SP12;Sample;PPT1;0;0;8.47;;10.5;6.84;-16.5;1668;194;10;360;19.55;-0.06;232.01;140572.5;35144.82;26.21;19778.96;200.37;;10963.21;232715.3;3.48;0.36;0.58;1029.13;5271.61;6026.21;2.38;19.94;-27.88;-195.46;30.7;4.83;817.73;3.46;-0.09;-0.13;-0.03;41.19;0.63;142.94;9.77;15.79;36.67;277.93;0.177631423;#N/A;458.8317695;0.008424906;2.322705717;0.007804403;0.127308575;9.314419021;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2273;1.155;240.049
PZ1-SP13;168;PZ1;14-3-2019;11:02;SP13;Sample;PPT1;0;0;9.53;0.21;10.5;6.97;-66.37;1640;196;10;420;19.38;-0.06;227.57;136743.7;34559.26;37.5;21301.38;166.83;;9381.58;233301.1;4.02;0.46;1.13;1067.14;8396.42;8980.04;1.83;19.56;-26.66;-194.22;14.4;2.86;802.85;1.97;-0.1;-0.05;-0.09;52.78;3.03;140.13;10.62;10.48;36.06;274.57;0.160280893;#N/A;453.2144645;0.008424906;2.089448858;0.007804403;0;5.625668835;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8099;0.905;238.508
PZ1-SP14;174;PZ1;14-3-2019;12:06;SP14;Sample;PPT1;0;0;11.4;;10.5;6.91;-70.85;1638;190;10;480;18.85;-0.06;222.79;132627.8;34369.89;31.97;21917.5;157.76;;8353.12;230119.8;3.97;0.3;0.69;1051.34;8743.41;9530.75;0.86;15.19;-27.52;-196.49;9.4;6.34;788.69;1.33;-0.09;-0.11;-0.14;59.02;1.28;136.77;10.5;4.74;37.84;276.59;0.177631423;#N/A;485.8914493;0.008424906;2.206165629;0.007804403;0;4.36524219;;0.096;0.6764;0.0886;0.1201;0.8549;0.0176;0.1679;0.1667;0.02;0.05;0.1;0.1711;0.0464;;0.118;0.743;0.121;0.0569;0.0058;0.0082;0.0246;0.0042;0.1257;;0.6634;2.4;0.9959;0.898;198.24
PZ2-GW;29;PZ2;26-2-2019;10:49;GW;Sample;PPT1 - GW;0.05;0;6.88;3.743;12.2;6.23;-49;9219;167;-99;-99;36.7;-0.34;442.15;419204.9;154509.3;-245.3;16262.32;1.43;;39900;1202212;21.39;-2.5;-1.84;6818.71;14805.91;17548.06;-1.94;-0.18;-137.77;-984.94;0.24;36.74;4642.7;0.39;0.15;-0.6;-1.06;768.89;-3.09;423.5;12.65;20.3;155.9;1407.2;0.194925345;#N/A;3168.078243;0.008424906;13.43346426;0.007804403;0;3.327592052;1.98;0.0053;0.6704;0.006;0.0053;0.4939;0.0036;0.0095;0.0647;0.0019;0.0075;0.005;0.0101;0.0071;;0.0077;0.5055;0.008;;0.0049;0.0175;0.0064;0.0093;0.0078;0.0037;0.6603;0.056;8.2531;4.691;77.779
PZ2-DW;30;PZ2;26-2-2019;11:18;DW;Sample;PPT1;7.1;4.19;16.4;;7.96;7.17;105.5;1912;201;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200.14;0;31.36;36.29;183.12;0.381422327;#N/A;367.3894361;0.008424906;2.089448858;4.688221627;9.969092292;100.3778424;;0.6138;0.2458;0.0268;0.9477;0.3985;0.0105;0.9402;3.9615;0.4847;0.1313;0.1792;0.4574;0.0135;;0.788;0.3203;0.5985;0.1489;;0.0643;0.0034;0.003;0.1083;0.0033;0.2328;2.3;;;
PZ2-DW+;31;PZ2;26-2-2019;11:43;DW+;Sample;PPT1;6.9;49.9;16.9;;9.8;7.16;38.6;2007;204;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233.11;0.71;32.23;39.26;192.9;0.381422327;#N/A;375.6312176;6.775912287;8.34207671;49.00331354;13.61321367;102.2824952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF1;32;PZ2;26-2-2019;13:15;INF1;Sample;PPT1;7.3;50.2;17.8;;11.2;7.3;140.6;1998;198;-99;-99;17.48;-0.06;254.77;244257;37608.43;-21.23;4754.01;1233.08;;33368.96;158190.3;2.53;7;1.01;352.03;65.79;263.32;-0.14;-0.11;-26.53;-195;6.96;7.15;713.24;5.33;-0.16;-0.09;0.45;7.7;-1.93;234.27;1.56;33.38;37.97;193.23;0.364751099;#N/A;370.3549377;0.008424906;8.222530107;48.03848487;10.883316;99.78245727;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.22;6.626;386.785
PZ2-INF2;33;PZ2;26-2-2019;13:45;INF2;Sample;PPT1;7.2;50.1;16.9;20.8;12.6;7.3;141.1;1992;201;-99;-99;16.92;-0.06;258.63;228940.2;34589.86;-39.91;4791.11;1239.01;;29807.71;146168.8;2.5;6.26;0.56;317;55.49;207.93;-0.18;-1.47;-26.19;-196.68;6.86;6.35;638.55;5.26;-0.17;-0.14;0.5;6.79;-1.57;233.98;1.73;30.74;39.41;191.94;0.364751099;#N/A;374.1303957;0.008424906;8.34207671;48.88279063;9.854664641;101.255878;19.45;3.7;0.3;0;4.6;0.3;0;4.5;4.6;0.5;0.9;0.9;1.9;0;;4.2;0.3;3.9;0.5;;0;0;0;0.3;0;0.2;22.8;4.4202;12.072;392.35
PZ2-INF3;34;PZ2;26-2-2019;14:30;INF3;Sample;PPT1;7.7;50.5;17.1;;13.2;7.3;165.9;1993;201;-99;-99;16.14;-0.05;257.38;213487.4;32632.7;-35.39;4717.93;1243.94;;27677.39;136034.4;2.55;6.49;1.08;308.23;53.19;240.3;-0.21;-1.36;-25.9;-195.46;7.27;6.86;604.33;5.13;-0.23;-0.11;0.45;6.45;-1.24;235.27;1.5;33.82;39.11;195.63;0.364751099;#N/A;375.6680465;0.008424906;8.34207671;49.21417317;12.13689748;102.237865;;3.7;0.3;0;4.8;0.3;0;4.8;4.7;0.7;0.9;0.8;1.9;0;;4.3;0.2;4.1;0.6;0;0.1;0;0;0.3;0;0.2;22.2;0.8534;6.866;384.15
PZ2-INF4;35;PZ2;26-2-2019;15:00;INF4;Sample;PPT1;7.9;49.9;16.9;;13.8;7.4;186.7;1989;203;-99;-99;15.51;-0.06;253.21;215321.3;32579.63;-37.95;4633.68;1213.98;;27845.19;138590.3;2.43;6.34;0.77;307.7;59.63;220.24;-0.18;-1.66;-23.48;-194.18;7.36;4.68;611.99;5.05;-0.22;-0.15;0.43;6.75;-2.61;231.17;1.61;31.54;39.69;194.26;0.364751099;#N/A;370.1707549;0.008424906;8.162737335;48.12900022;10.99744427;99.99085188;18.12;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2931;6.539;390.708
PZ2-SP1;36;PZ2;26-2-2019;17:20;SP1;Sample;PPT1;0.49;48.4;13.2;20.91;11.1;7.4;115.1;1955;195;30;30;16.14;-0.06;253.96;210115;31285.47;-35.29;5088.47;874.85;;27263.75;132236.3;2.46;9.07;1.15;271.23;3.91;143.14;-0.02;6.27;-26.7;-198.15;8.05;4.19;575.78;6.89;-0.15;-0.1;0.87;8.88;-2.26;233.81;1.33;32.26;38.74;191.19;0.381422327;#N/A;377.3068792;0.008424906;8.401830542;49.1238134;10.08348668;102.7436454;13.55;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2592;4.764;392.281
PZ2-SP2;37;PZ2;26-2-2019;21:03;SP2;Sample;PPT1;0.18;50.2;14.9;;10.74;7.4;158;1970;196;30;60;14.83;-0.07;250.32;209596.6;30968.85;-39.17;5832.86;638.78;;27529.46;133863.3;2.54;10.35;1.81;261.42;-3.62;142.7;-0.07;6.83;-28.8;-192.8;8.5;3.94;575.36;7.45;-0.18;-0.12;0.91;12.65;-1.41;235.92;3.81;31.73;38.28;192.46;0.381422327;#N/A;372.9886079;0.008424906;8.162737335;47.6762938;7.789278744;99.96108187;;3.7977;0.2624;1.5181;5.4706;0.3415;0.1681;5.3435;5.0486;0.727;1.9211;1.9139;3.8023;0.7164;;4.5697;0.2792;4.6746;1.3907;0.0151;0.0492;0.412;0.0033;1.6469;0.0041;0.2397;;0.2008;3.409;390.982
PZ2-SP3;38;PZ2;27-2-2019;16:55;SP3;Sample;PPT1;0.08;49.6;14.6;20.02;11.1;7.8;165.6;1964;194;30;90;16.47;-0.03;269.72;226857.6;33074.05;-31.57;6996.45;552.31;;31631.86;143304.7;2.85;10.67;1.84;276.05;25.21;188.36;0.39;9.14;-25.5;-175.92;8.83;1.92;625.19;8.66;-0.13;-0.07;0.91;23.45;0.56;235.1;1.54;36.22;37.78;194.57;0.398036948;#N/A;384.2017297;0.008424906;8.282309898;47.91777756;7.789278744;101.9105621;10.29;3.5059;0.2672;0.833;5.06;0.343;0.0918;5.152;5.0572;0.651;1.8934;1.4555;2.8946;0.3773;;4.0467;0.2854;4.2038;1.1199;0.0084;0.0481;0.1298;;0.9844;0.0015;0.2541;;;;
PZ2-SP4;39;PZ2;28-2-2019;16:30;SP4;Sample;PPT1;0.03;45.7;11.1;;11;7.4;222.3;2103;202;30;120;17.36;-0.07;263.02;244599.2;39482.32;-39.67;7701.03;493.93;;37485.8;177383.3;2.3;10.19;1.38;313.9;13.25;207.46;-0.07;8.73;-28.45;-197.94;8.03;6.94;765.33;8.05;-0.25;-0.12;0.7;34.86;-1.61;240.15;1.74;37.73;41.37;212.83;0.398036948;#N/A;441.5996455;0.008424906;8.34207671;46.64895927;6.406367266;100.6159723;;3.2006;0.4708;1.2975;4.4655;0.4894;0.1535;4.1465;4.0485;0.5656;1.7416;1.7043;3.3048;0.7199;;3.0784;0.4539;3.633;1.1437;0.0238;0.029;0.4246;0.0044;1.2541;;0.4444;;0.821;3.151;384.15
PZ2-SP5;95;PZ2;1-3-2019;15:08;SP5;Sample;PPT1;0.03;38.7;7.26;16.3;10.5;7.4;7.6;3426;183;30;150;20.05;-0.18;313.3;248396.9;57457.05;-100.13;9002.98;431.08;;34917.11;309901.8;4.97;5.97;2.31;1034.58;263.15;655.19;-0.6;1.83;-69.05;-489.41;6.74;13.02;1292.03;6.38;-0.52;-0.27;0.21;156.7;-2.05;280.625;4.3;39.65;71.45;446;0.331238816;#N/A;953.8615164;0.008424906;8.998654956;38.33969945;3.858588765;83.09160137;;2.6492;0.4893;0.9405;3.8061;0.4099;0.1224;3.7929;3.4602;0.5148;1.3757;1.3779;2.6605;0.477;;2.5876;0.4224;3.3218;0.9326;0.0127;0.0257;0.2028;0.0218;1.0136;0.0051;0.4533;;0.9629;2.75;360.516
PZ2-SP6;117;PZ2;2-3-2019;15:30;SP6;Sample;PPT1;0.05;30;10.5;;11.3;7.2;-87.7;4632;175;30;180;25.64;-0.17;363.79;305264.7;87415.2;-108.35;10770.02;307.29;;39906.63;534767.1;8.36;3.36;1.82;2425.85;4496.07;5278.33;-0.14;12.03;-72.66;-496.66;5.01;4.58;2199.89;5.27;-0.32;-0.31;0.13;399.47;-3.75;320.425;6.125;41.675;95.35;662.475;0.229343363;#N/A;1488.860362;1.680359404;9.594181369;31.34878237;0;68.63599113;5.36;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6636;2.017;210.842
PZ2-SP7;122;PZ2;3-3-2019;09:21;SP7;Sample;PPT1;0;23.8;5.4;11.02;11.1;7;-53.4;5471;189;30;210;26.97;-0.19;377.58;343688.9;104192.5;-101.84;12054.04;234.09;;40567.18;685422.3;11.36;1.79;1.85;3432.86;7203.51;8430.58;-0.14;13.82;-73.16;-495.13;3.59;8.69;2750.15;4.42;-0.2;-0.27;0;551.12;-2.92;347.975;7.45;39.15;109.25;812.35;0.229343363;#N/A;1844.187255;0.008424906;10.3070997;26.84436643;0;56.27495858;;1.4318;0.6994;0.39;2.1607;0.4045;0.0459;2.2985;2.7041;0.3299;0.7541;0.7207;1.4539;0.1868;;1.4014;0.5451;1.9077;0.5406;0.0054;0.0155;0.0542;0.0071;0.4857;0.0027;0.6799;;0.9756;1.735;183.747
PZ2-SP8;128;PZ2;4-3-2019;10:18;SP8;Sample;PPT1;0;18.2;2.83;;10.4;6.9;-3.2;6036;188;30;240;29.43;-0.3;394.76;348356.4;109798.5;-200.61;12666.44;82.26;;37608.06;743395.9;13.13;0.14;6.01;3985.59;8184.67;9711.25;-1.17;-4.61;-141.17;-990.01;1.98;27.26;2984.92;4.06;-0.41;-0.51;-0.68;574.64;-11.08;374.65;9;42.25;124.65;1016.6;0.194925345;#N/A;2080.705876;0.008424906;10.48503723;18.19283492;0;44.02365371;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9121;1.158;133.056
